Lon Lat
-117.379295 35.577751 0.000000
-117.379684 35.578072 0.000000
-117.380074 35.578392 0.000000
-117.380463 35.578712 0.000000
-117.380852 35.579033 0.000000
-117.381233 35.579353 0.000000
-117.381622 35.579674 0.000000
-117.382011 35.579994 0.000000
-117.382401 35.580315 0.000000
-117.382790 35.580635 0.000000
-117.383179 35.580959 0.000000
-117.383560 35.581280 0.000000
-117.383949 35.581600 0.000000
-117.384338 35.581924 0.000000
-117.384727 35.582245 0.000000
-117.385117 35.582565 0.000000
-117.385506 35.582886 0.000000
-117.385895 35.583206 0.000000
-117.386284 35.583523 0.000000
-117.386673 35.583843 0.000000
-117.387070 35.584160 0.000000
-117.387459 35.584480 0.000000
-117.387856 35.584797 0.000000
-117.388245 35.585114 0.000000
-117.388634 35.585430 0.000000
-117.389030 35.585751 0.000000
-117.389420 35.586067 0.000000
-117.389816 35.586384 0.000000
-117.390205 35.586704 0.000000
-117.390602 35.587021 0.000000
-117.390991 35.587337 0.000000
-117.391380 35.587654 0.000000
-117.391769 35.587975 0.000000
-117.392166 35.588291 0.000000
-117.392555 35.588612 0.000000
-117.392944 35.588932 0.000000
-117.393326 35.589256 0.000000
-117.393715 35.589577 0.000000
-117.394104 35.589901 0.000000
-117.394485 35.590225 0.000000
-117.394867 35.590549 0.000000
-117.395248 35.590874 0.000000
-117.395630 35.591202 0.000000
-117.396011 35.591530 0.000000
-117.396385 35.591858 0.000000
-117.396759 35.592190 0.000000
-117.397133 35.592522 0.000000
-117.397507 35.592854 0.000000
-117.397881 35.593185 0.000000
-117.398247 35.593521 0.000000
-117.398621 35.593857 0.000000
-117.398987 35.594193 0.000000
-117.399353 35.594528 0.000000
-117.399727 35.594864 0.000000
-117.400093 35.595196 0.000000
-117.400459 35.595531 0.000000
-117.400826 35.595867 0.000000
-117.401199 35.596203 0.000000
-117.401566 35.596539 0.000000
-117.401932 35.596874 0.000000
-117.402306 35.597210 0.000000
-117.402672 35.597546 0.000000
-117.403038 35.597881 0.000000
-117.403404 35.598217 0.000000
-117.403778 35.598557 0.000000
-117.404144 35.598892 0.000000
-117.404510 35.599228 0.000000
-117.404877 35.599564 0.000000
-117.405243 35.599899 0.000000
-117.405617 35.600235 0.000000
-117.405983 35.600571 0.000000
-117.406349 35.600906 0.000000
-117.406715 35.601246 0.000000
-117.407082 35.601578 0.000000
-117.407448 35.601917 0.000000
-117.407806 35.602257 0.000000
-117.408173 35.602592 0.000000
-117.408539 35.602932 0.000000
-117.408897 35.603271 0.000000
-117.409264 35.603615 0.000000
-117.409622 35.603954 0.000000
-117.409988 35.604294 0.000000
-117.410347 35.604633 0.000000
-117.410706 35.604977 0.000000
-117.411072 35.605316 0.000000
-117.411430 35.605659 0.000000
-117.411789 35.605999 0.000000
-117.412155 35.606339 0.000000
-117.412514 35.606682 0.000000
-117.412872 35.607021 0.000000
-117.413239 35.607365 0.000000
-117.413597 35.607704 0.000000
-117.413956 35.608044 0.000000
-117.414322 35.608387 0.000000
-117.414680 35.608727 0.000000
-117.415047 35.609066 0.000000
-117.415405 35.609406 0.000000
-117.415771 35.609745 0.000000
-117.416138 35.610085 0.000000
-117.416504 35.610420 0.000000
-117.416862 35.610760 0.000000
-117.417229 35.611095 0.000000
-117.417603 35.611435 0.000000
-117.417969 35.611767 0.000000
-117.418335 35.612103 0.000000
-117.418701 35.612438 0.000000
-117.419075 35.612770 0.000000
-117.419441 35.613106 0.000000
-117.419815 35.613438 0.000000
-117.420189 35.613773 0.000000
-117.420563 35.614105 0.000000
-117.420929 35.614437 0.000000
-117.421303 35.614769 0.000000
-117.421677 35.615101 0.000000
-117.422050 35.615433 0.000000
-117.422424 35.615765 0.000000
-117.422798 35.616096 0.000000
-117.423180 35.616428 0.000000
-117.423553 35.616756 0.000000
-117.423927 35.617088 0.000000
-117.424309 35.617416 0.000000
-117.424683 35.617744 0.000000
-117.425064 35.618073 0.000000
-117.425438 35.618401 0.000000
-117.425819 35.618729 0.000000
-117.426201 35.619057 0.000000
-117.426575 35.619381 0.000000
-117.426956 35.619709 0.000000
-117.427338 35.620033 0.000000
